Goal Scored,Ball Possession %,Attempts,On-Target,Off-Target,Blocked,Corners,Offsides,Free Kicks,Saves,Pass Accuracy %,Passes,Fouls Committed,Yellow Card,Yellow & Red,Red,PSO,Goals in PSO,Own goals,Own goal Time,Man of the Match,Team,Opponent
5,40,13,7,3,3,6,3,11,0,78,306,22,0,0,0,No,0,,,Yes,Russia,Saudi Arabia
0,60,6,0,3,3,2,1,25,2,86,511,10,0,0,0,No,0,,,No,Saudi Arabia,Russia
0,43,8,3,3,2,0,1,7,3,78,395,12,2,0,0,No,0,,,No,Egypt,Uruguay
1,57,14,4,6,4,5,1,13,3,86,589,6,0,0,0,No,0,,,Yes,Uruguay,Egypt
0,64,13,3,6,4,5,0,14,2,86,433,22,1,0,0,No,0,1,90,No,Morocco,Iran
1,36,8,2,5,1,2,0,22,2,86,194,14,3,0,0,No,0,,,Yes,Iran,Morocco
3,39,8,3,2,3,4,1,13,2,87,366,12,1,0,0,No,0,,,No,Portugal,Spain
3,61,12,5,5,2,5,3,13,0,93,727,10,1,0,0,No,0,,,Yes,Spain,Portugal
2,51,12,5,4,3,5,0,19,1,87,484,16,1,0,0,No,0,,,Yes,France,Australia
1,49,4,1,2,1,1,0,16,4,85,390,19,3,0,0,No,0,1,81,No,Australia,France
1,72,26,7,9,10,10,0,15,2,92,718,10,0,0,0,No,0,,,No,Argentina,Iceland
1,28,9,3,5,1,2,0,10,7,67,189,15,0,0,0,No,0,,,Yes,Iceland,Argentina
0,52,18,6,7,5,3,5,21,2,85,394,10,1,0,0,No,0,,,No,Peru,Denmark
1,48,10,3,5,2,7,3,15,6,82,342,18,2,0,0,No,0,,,Yes,Denmark,Peru
2,54,11,2,7,2,6,2,17,2,84,462,20,2,0,0,No,0,,,Yes,Croatia,Nigeria
0,46,14,2,5,7,5,1,22,1,84,388,16,1,0,0,No,0,1,32,No,Nigeria,Croatia
0,50,10,3,3,4,5,1,18,2,83,428,18,2,0,0,No,0,,,No,Costa Rica,Serbia
1,50,10,3,5,2,4,3,19,3,83,392,15,2,0,0,No,0,,,Yes,Serbia,Costa Rica
0,60,25,9,9,7,8,1,17,3,88,595,10,2,0,0,No,0,,,Yes,Germany,Mexico
1,40,12,4,6,2,1,2,11,9,82,281,15,2,0,0,No,0,,,No,Mexico,Germany
1,52,20,4,9,7,7,1,19,1,88,521,12,1,0,0,No,0,,,Yes,Brazil,Switzerland
1,48,6,2,4,0,2,0,13,3,83,436,19,3,0,0,No,0,,,No,Switzerland,Brazil
1,52,15,4,5,6,6,1,23,0,84,417,20,1,0,0,No,0,,,Yes,Sweden,Korea Republic
0,48,5,0,2,3,5,0,21,3,79,351,23,2,0,0,No,0,,,No,Korea Republic,Sweden
3,61,15,6,7,2,9,1,21,2,89,544,17,3,0,0,No,0,,,Yes,Belgium,Panama
0,39,6,2,4,0,3,3,18,2,82,317,18,5,0,0,No,0,,,No,Panama,Belgium
1,41,6,1,3,2,2,2,11,5,82,326,14,0,0,0,No,0,,,No,Tunisia,England
2,59,17,7,7,3,7,3,16,0,91,492,8,1,0,0,No,0,,,Yes,England,Tunisia
1,41,8,3,1,4,3,2,10,4,82,352,15,2,0,1,No,0,,,No,Colombia,Japan
2,59,14,6,5,3,6,1,17,2,87,565,9,1,0,0,No,0,,,Yes,Japan,Colombia
1,57,10,4,5,1,3,3,18,1,88,552,8,1,0,0,No,0,1,37,No,Poland,Senegal
2,43,8,2,4,2,3,3,11,3,81,328,15,2,0,0,No,0,,,Yes,Senegal,Poland
3,47,11,3,5,3,7,0,10,0,76,380,11,1,0,0,No,0,,,Yes,Russia,Egypt
1,53,13,1,8,4,4,0,11,1,81,438,10,1,0,0,No,0,1,47,No,Egypt,Russia
1,47,10,2,4,4,5,1,24,4,76,387,19,1,0,0,No,0,,,Yes,Portugal,Morocco
0,53,16,4,10,2,7,1,20,1,77,466,23,1,0,0,No,0,,,No,Morocco,Portugal
1,47,13,4,6,3,3,1,15,3,88,521,10,0,0,0,No,0,,,Yes,Uruguay,Saudi Arabia
0,53,8,3,3,2,4,2,11,3,86,590,13,0,0,0,No,0,,,No,Saudi Arabia,Uruguay
0,30,5,0,5,0,2,2,15,2,69,219,14,2,0,0,No,0,,,No,Iran,Spain
1,70,17,3,6,8,6,1,16,0,89,805,14,0,0,0,No,0,,,Yes,Spain,Iran
1,49,10,5,5,0,3,1,5,4,88,458,7,2,0,0,No,0,,,Yes,Denmark,Australia
1,51,14,5,5,4,5,0,8,5,85,520,5,0,0,0,No,0,,,No,Australia,Denmark
1,44,12,4,6,2,5,0,16,2,77,405,11,2,0,0,No,0,,,Yes,France,Peru
0,56,10,2,6,2,3,1,11,3,81,532,15,2,0,0,No,0,,,No,Peru,France
0,58,10,3,3,4,5,3,26,2,81,505,15,3,0,0,No,0,,,No,Argentina,Croatia
3,42,15,5,6,4,2,3,18,3,80,372,23,4,0,0,No,0,,,Yes,Croatia,Argentina
2,66,23,9,9,5,10,3,14,0,90,732,11,2,0,0,No,0,,,Yes,Brazil,Costa Rica
0,34,4,0,4,0,1,3,14,7,73,271,11,1,0,0,No,0,,,No,Costa Rica,Brazil
2,58,16,4,6,6,6,1,10,3,84,473,9,1,0,0,No,0,,,Yes,Nigeria,Iceland
0,42,10,3,6,1,5,0,10,2,75,291,10,0,0,0,No,0,,,No,Iceland,Nigeria
1,42,12,3,7,2,3,0,15,3,78,309,17,4,0,0,No,0,,,No,Serbia,Switzerland
2,58,20,5,8,7,7,3,17,2,87,547,12,1,0,0,No,0,,,Yes,Switzerland,Serbia
5,52,23,12,8,3,5,3,16,3,84,468,12,0,0,0,No,0,,,Yes,Belgium,Tunisia
2,48,15,5,6,4,2,3,15,6,82,477,13,1,0,0,No,0,,,No,Tunisia,Belgium
1,41,17,6,2,9,7,0,7,3,82,346,24,4,0,0,No,0,,,No,Korea Republic,Mexico
2,59,13,5,6,2,5,0,24,5,89,485,7,0,0,0,No,0,,,Yes,Mexico,Korea Republic
2,71,16,5,4,7,8,5,15,5,91,699,12,0,1,0,No,0,,,Yes,Germany,Sweden
1,29,8,6,1,1,3,2,17,4,77,213,13,2,0,0,No,0,,,No,Sweden,Germany
6,58,12,7,3,2,3,3,13,1,94,593,14,1,0,0,No,0,,,Yes,England,Panama
1,42,8,2,5,1,2,0,17,1,88,398,13,3,0,0,No,0,,,No,Panama,England
2,54,7,3,2,2,2,2,18,5,84,449,8,2,0,0,No,0,,,No,Japan,Senegal
2,46,14,7,5,2,5,4,10,1,79,338,14,3,0,0,No,0,,,Yes,Senegal,Japan
0,45,9,2,3,4,7,1,11,0,79,424,15,2,0,0,No,0,,,No,Poland,Colombia
3,55,13,3,5,5,5,1,16,2,82,514,10,0,0,0,No,0,,,Yes,Colombia,Poland
3,56,17,7,6,4,4,0,20,1,88,492,17,1,0,0,No,0,,,Yes,Uruguay,Russia
0,44,3,1,1,1,2,2,17,5,83,355,18,1,1,0,No,0,1,23,No,Russia,Uruguay
2,61,22,7,10,5,7,1,19,0,90,655,7,0,0,0,No,0,,,No,Saudi Arabia,Egypt
1,39,8,1,6,1,2,3,8,5,82,357,16,2,0,0,No,0,,,Yes,Egypt,Saudi Arabia
2,68,16,4,11,1,7,1,18,1,91,762,5,0,0,0,No,0,,,Yes,Spain,Morocco
2,32,6,3,2,1,1,1,6,1,84,247,17,6,0,0,No,0,,,No,Morocco,Spain
1,32,8,2,5,1,1,1,12,3,69,226,16,2,0,0,No,0,,,No,Iran,Portugal
1,68,14,4,7,3,5,1,17,1,89,619,11,4,0,0,No,0,,,Yes,Portugal,Iran
0,38,5,1,2,2,4,1,11,4,72,305,10,1,0,0,No,0,,,No,Denmark,France
0,62,11,4,6,1,2,1,11,1,87,669,10,0,0,0,No,0,,,Yes,France,Denmark
0,53,14,2,7,5,8,3,13,1,86,555,13,4,0,0,No,0,,,No,Australia,Peru
2,47,4,3,1,0,3,1,16,2,81,418,12,2,0,0,No,0,,,Yes,Peru,Australia
1,34,9,3,5,1,3,0,17,2,76,244,20,2,0,0,No,0,,,No,Nigeria,Argentina
2,66,8,4,3,1,5,2,20,2,84,565,15,3,0,0,No,0,,,Yes,Argentina,Nigeria
1,41,17,6,8,3,10,1,12,0,73,324,10,3,0,0,No,0,,,Yes,Iceland,Croatia
2,59,13,2,8,3,5,0,11,5,87,524,12,2,0,0,No,0,,,No,Croatia,Iceland
2,30,11,5,5,1,3,0,8,7,74,237,16,4,0,0,No,0,,,Yes,Korea Republic,Germany
0,70,26,6,11,9,9,1,16,3,88,719,7,0,0,0,No,0,,,No,Germany,Korea Republic
0,65,19,3,8,8,7,2,11,3,83,487,14,3,0,0,No,0,1,74,No,Mexico,Sweden
3,35,13,5,7,1,3,0,16,3,67,212,11,2,0,0,No,0,,,Yes,Sweden,Mexico
0,44,10,1,5,4,5,2,11,4,78,467,13,3,0,0,No,0,,,No,Serbia,Brazil
2,56,13,6,3,4,9,4,15,1,88,631,7,0,0,0,No,0,,,Yes,Brazil,Serbia
2,60,12,3,5,4,6,1,15,5,87,594,9,3,0,0,No,0,1,90,Yes,Switzerland,Costa Rica
2,40,14,6,6,2,5,1,10,1,82,348,14,3,0,0,No,0,,,No,Costa Rica,Switzerland
0,54,10,3,4,3,5,1,8,2,86,557,11,1,0,0,No,0,,,No,Japan,Poland
1,46,11,2,5,4,7,0,12,3,83,462,8,0,0,0,No,0,,,Yes,Poland,Japan
0,43,8,3,4,1,1,3,18,1,78,281,15,1,0,0,No,0,,,No,Senegal,Colombia
1,57,4,2,1,1,3,3,18,3,83,431,15,1,0,0,No,0,,,Yes,Colombia,Senegal
1,36,9,4,4,1,0,4,20,5,77,284,18,3,0,0,No,0,,,No,Panama,Tunisia
2,64,15,7,4,4,6,1,22,4,87,626,19,3,0,0,No,0,1,33,Yes,Tunisia,Panama
0,48,13,1,7,5,7,3,15,3,88,484,11,0,0,0,No,0,,,No,England,Belgium
1,52,15,4,4,7,2,1,14,1,88,556,14,2,0,0,No,0,,,Yes,Belgium,England
4,41,9,4,4,1,0,0,16,1,84,351,21,3,0,0,No,0,,,Yes,France,Argentina
3,59,9,4,1,4,4,1,21,0,86,547,15,5,0,0,No,0,,,No,Argentina,France
2,39,6,3,2,1,2,0,14,4,69,269,13,0,0,0,No,0,,,Yes,Uruguay,Portugal
1,61,20,5,1,8,10,1,13,1,84,583,13,1,0,0,No,0,,,No,Portugal,Uruguay
1,75,25,9,6,10,6,1,20,0,91,1137,5,1,0,0,Yes,3,,,No,Spain,Russia
1,25,6,1,3,2,5,1,6,9,72,284,19,2,0,0,Yes,4,1,12,Yes,Russia,Spain
1,54,22,7,8,7,5,2,19,2,81,626,5,0,0,0,Yes,3,,,Yes,Croatia,Denmark
1,46,15,3,10,2,4,0,7,7,79,539,19,1,0,0,Yes,2,,,No,Denmark,Croatia
2,47,21,10,7,4,8,0,20,1,83,398,6,2,0,0,No,0,,,Yes,Brazil,Mexico
0,53,13,1,4,8,7,2,6,8,85,424,18,4,0,0,No,0,,,No,Mexico,Brazil
3,56,24,8,10,6,10,1,10,3,87,621,13,0,0,0,No,0,,,Yes,Belgium,Japan
2,44,11,4,4,3,6,1,14,5,83,453,9,1,0,0,No,0,,,No,Japan,Belgium
1,37,12,3,6,3,3,1,13,4,73,271,11,1,0,0,No,0,,,Yes,Sweden,Switzerland
0,63,18,4,5,9,11,0,12,2,84,599,13,2,0,1,No,0,,,No,Switzerland,Sweden
1,48,14,4,7,3,2,1,15,1,78,516,23,6,0,0,Yes,3,,,No,Colombia,England
1,51,16,2,9,5,7,2,24,3,82,571,13,2,0,0,Yes,4,,,Yes,England,Colombia
0,42,11,4,6,1,4,0,15,0,67,322,17,2,0,0,No,0,,,No,Uruguay,France
2,58,11,2,7,2,3,0,17,4,81,524,15,2,0,0,No,0,,,Yes,France,Uruguay
1,57,26,9,7,10,8,1,16,2,89,557,14,2,0,0,No,0,1,13,No,Brazil,Belgium
2,43,8,3,3,2,4,0,15,9,83,370,16,2,0,0,No,0,,,Yes,Belgium,Brazil
0,43,7,3,3,1,1,2,8,0,74,379,10,2,0,0,No,0,,,No,Sweden,England
2,57,12,2,4,6,6,1,12,3,80,525,7,1,0,0,No,0,,,Yes,England,Sweden
2,38,13,7,4,2,6,1,18,1,69,399,25,1,0,0,Yes,3,,,No,Russia,Croatia
2,62,17,3,10,4,8,0,26,5,82,753,18,4,0,0,Yes,4,,,Yes,Croatia,Russia
1,40,19,5,8,6,4,1,17,3,86,342,6,2,0,0,No,0,,,Yes,France,Belgium
0,60,9,3,5,1,5,1,7,4,90,629,16,3,0,0,No,0,,,No,Belgium,France
2,54,22,7,11,4,8,1,17,0,79,622,23,2,0,0,No,0,,,Yes,Croatia,England
1,46,11,1,6,4,4,3,24,5,79,479,14,1,0,0,No,0,,,No,England,Croatia
2,43,12,4,3,5,4,1,5,5,88,510,11,1,0,0,No,0,,,Yes,Belgium,England
0,57,15,5,7,3,5,0,12,2,92,698,5,2,0,0,No,0,,,No,England,Belgium
4,39,8,6,1,1,2,1,14,1,75,271,14,2,0,0,No,0,1,18,Yes,France,Croatia
2,61,15,3,8,4,6,1,15,3,83,547,13,1,0,0,No,0,,,No,Croatia,France
